user_id,asset_id,event_type,version,source_type,source_id,delta,avail_after,frozen_after
0,1,deposit,1,external,1,10000000000,10000000000,0
0,2,deposit,1,external,2,10000000000000,10000000000000,0
44,1,deposit,1,external,3,10000000000,10000000000,0
44,2,deposit,1,external,4,10000000000000,10000000000000,0
88,1,deposit,1,external,5,10000000000,10000000000,0
88,2,deposit,1,external,6,10000000000000,10000000000000,0
25,1,deposit,1,external,7,10000000000,10000000000,0
25,2,deposit,1,external,8,10000000000000,10000000000000,0
69,1,deposit,1,external,9,10000000000,10000000000,0
69,2,deposit,1,external,10,10000000000000,10000000000000,0
6,1,deposit,1,external,11,10000000000,10000000000,0
6,2,deposit,1,external,12,10000000000000,10000000000000,0
50,1,deposit,1,external,13,10000000000,10000000000,0
50,2,deposit,1,external,14,10000000000000,10000000000000,0
94,1,deposit,1,external,15,10000000000,10000000000,0
94,2,deposit,1,external,16,10000000000000,10000000000000,0
31,1,deposit,1,external,17,10000000000,10000000000,0
31,2,deposit,1,external,18,10000000000000,10000000000000,0
75,1,deposit,1,external,19,10000000000,10000000000,0
75,2,deposit,1,external,20,10000000000000,10000000000000,0
12,1,deposit,1,external,21,10000000000,10000000000,0
12,2,deposit,1,external,22,10000000000000,10000000000000,0
56,1,deposit,1,external,23,10000000000,10000000000,0
56,2,deposit,1,external,24,10000000000000,10000000000000,0
37,1,deposit,1,external,25,10000000000,10000000000,0
37,2,deposit,1,external,26,10000000000000,10000000000000,0
81,1,deposit,1,external,27,10000000000,10000000000,0
81,2,deposit,1,external,28,10000000000000,10000000000000,0
18,1,deposit,1,external,29,10000000000,10000000000,0
18,2,deposit,1,external,30,10000000000000,10000000000000,0
62,1,deposit,1,external,31,10000000000,10000000000,0
62,2,deposit,1,external,32,10000000000000,10000000000000,0
43,1,deposit,1,external,33,10000000000,10000000000,0
43,2,deposit,1,external,34,10000000000000,10000000000000,0
87,1,deposit,1,external,35,10000000000,10000000000,0
87,2,deposit,1,external,36,10000000000000,10000000000000,0
24,1,deposit,1,external,37,10000000000,10000000000,0
24,2,deposit,1,external,38,10000000000000,10000000000000,0
68,1,deposit,1,external,39,10000000000,10000000000,0
68,2,deposit,1,external,40,10000000000000,10000000000000,0
5,1,deposit,1,external,41,10000000000,10000000000,0
5,2,deposit,1,external,42,10000000000000,10000000000000,0
49,1,deposit,1,external,43,10000000000,10000000000,0
49,2,deposit,1,external,44,10000000000000,10000000000000,0
93,1,deposit,1,external,45,10000000000,10000000000,0
93,2,deposit,1,external,46,10000000000000,10000000000000,0
30,1,deposit,1,external,47,10000000000,10000000000,0
30,2,deposit,1,external,48,10000000000000,10000000000000,0
74,1,deposit,1,external,49,10000000000,10000000000,0
74,2,deposit,1,external,50,10000000000000,10000000000000,0
11,1,deposit,1,external,51,10000000000,10000000000,0
11,2,deposit,1,external,52,10000000000000,10000000000000,0
55,1,deposit,1,external,53,10000000000,10000000000,0
55,2,deposit,1,external,54,10000000000000,10000000000000,0
99,1,deposit,1,external,55,10000000000,10000000000,0
99,2,deposit,1,external,56,10000000000000,10000000000000,0
36,1,deposit,1,external,57,10000000000,10000000000,0
36,2,deposit,1,external,58,10000000000000,10000000000000,0
80,1,deposit,1,external,59,10000000000,10000000000,0
80,2,deposit,1,external,60,10000000000000,10000000000000,0
17,1,deposit,1,external,61,10000000000,10000000000,0
17,2,deposit,1,external,62,10000000000000,10000000000000,0
61,1,deposit,1,external,63,10000000000,10000000000,0
61,2,deposit,1,external,64,10000000000000,10000000000000,0
42,1,deposit,1,external,65,10000000000,10000000000,0
42,2,deposit,1,external,66,10000000000000,10000000000000,0
86,1,deposit,1,external,67,10000000000,10000000000,0
86,2,deposit,1,external,68,10000000000000,10000000000000,0
23,1,deposit,1,external,69,10000000000,10000000000,0
23,2,deposit,1,external,70,10000000000000,10000000000000,0
67,1,deposit,1,external,71,10000000000,10000000000,0
67,2,deposit,1,external,72,10000000000000,10000000000000,0
4,1,deposit,1,external,73,10000000000,10000000000,0
4,2,deposit,1,external,74,10000000000000,10000000000000,0
48,1,deposit,1,external,75,10000000000,10000000000,0
48,2,deposit,1,external,76,10000000000000,10000000000000,0
92,1,deposit,1,external,77,10000000000,10000000000,0
92,2,deposit,1,external,78,10000000000000,10000000000000,0
29,1,deposit,1,external,79,10000000000,10000000000,0
29,2,deposit,1,external,80,10000000000000,10000000000000,0
73,1,deposit,1,external,81,10000000000,10000000000,0
73,2,deposit,1,external,82,10000000000000,10000000000000,0
10,1,deposit,1,external,83,10000000000,10000000000,0
10,2,deposit,1,external,84,10000000000000,10000000000000,0
54,1,deposit,1,external,85,10000000000,10000000000,0
54,2,deposit,1,external,86,10000000000000,10000000000000,0
98,1,deposit,1,external,87,10000000000,10000000000,0
98,2,deposit,1,external,88,10000000000000,10000000000000,0
35,1,deposit,1,external,89,10000000000,10000000000,0
35,2,deposit,1,external,90,10000000000000,10000000000000,0
79,1,deposit,1,external,91,10000000000,10000000000,0
79,2,deposit,1,external,92,10000000000000,10000000000000,0
16,1,deposit,1,external,93,10000000000,10000000000,0
