user_id,asset_id,avail,frozen,version
1,1,8706909000,967691100,127
1,2,9657626752667,618915008401,125
2,1,8573390900,712713200,150
2,2,10293854794158,312778696658,136
3,1,9651054500,590738200,129
3,2,9131523033890,663305759817,143
4,1,8648834500,842852000,157
4,2,10034661356706,396685547393,144
5,1,9379750200,675437600,135
5,2,9237178688071,715993331571,132
6,1,10135832100,338876000,140
6,2,9105712118756,491161662723,156
7,1,9747423500,464691000,166
7,2,9488542768454,331090066992,182
8,1,9151081400,400336000,169
8,2,10138108641030,243411894861,162
9,1,8819600500,554350800,112
9,2,9865737207438,481783762336,100
10,1,8179659500,979628200,210
10,2,10234996602515,478825847281,208
11,1,8333392100,534058800,177
11,2,9655294859263,752662492946,184
12,1,9852706800,529121500,136
12,2,8922560764848,753103391121,149
13,1,9821376800,488143100,124
13,2,9241704259102,680700570570,142
14,1,8933744100,1670119300,181
14,2,9363000622958,308152228585,182
15,1,8457670600,829291200,122
15,2,9972612453337,632990969956,128
16,1,9720095500,581658700,95
16,2,9396781257770,346747560193,104
17,1,9210154000,613305200,150
17,2,9830263084320,319587853765,133
18,1,9646205500,502338100,132
18,2,9536849401500,337065262835,136
19,1,9499107200,762295700,143
19,2,9368615253450,409435399577,166
20,1,9858032700,648586500,159
20,2,9017455194549,736590468104,180
21,1,9759149000,1026757400,157
21,2,8993440456409,338996286893,164
22,1,9756044600,398539900,146
22,2,9603591170583,265001469832,150
23,1,9429960100,501968900,103
23,2,9712197433530,345816288547,97
24,1,8147039600,1679605000,134
24,2,9745019225592,402086304539,126
25,1,9200547500,809090200,120
25,2,9418453115125,573386420130,115
26,1,8577663600,1047639100,161
26,2,10155125118685,163240613330,134
27,1,9128768200,651333400,144
27,2,9939091580617,431834480945,139
28,1,9666683400,522420800,121
28,2,9572909506379,451003197165,131
29,1,9162621800,369343800,148
29,2,9822854257546,390478864059,133
30,1,9235701300,296368500,143
30,2,9959411915789,438343762662,160
31,1,9213973400,506598700,134
31,2,9648756892800,403671812366,130
32,1,8522860200,230388600,136
32,2,10537768194297,520639945734,124
33,1,8982794200,459789100,136
33,2,9735529282466,738146112433,131
34,1,9798864700,775086200,165
34,2,8925302473989,586883764813,177
35,1,9140802700,607876600,115
35,2,9829594768537,384026421544,110
36,1,8516011900,477030900,158
36,2,10009220229651,661530422549,149
37,1,9586040800,504120900,135
37,2,9441095288730,482544016139,139
38,1,9217492100,563943900,184
38,2,10021333455370,164416735836,182
39,1,9241983500,859771900,154
39,2,9345737793244,567737224554,154
40,1,9469765900,625261100,128
40,2,9191120194553,727982294228,135
41,1,9038195000,869019800,135
41,2,9567425502735,511342939375,139
42,1,9644837400,672809600,175
42,2,9207735807140,522545973923,181
43,1,8531038100,711396400,183
43,2,9840320236357,434881530520,190
44,1,9432119500,865017300,126
44,2,9128713833209,618622750667,137
45,1,9549253200,552818200,134
45,2,9431412965478,481861473114,137
46,1,10046989200,426474400,164
46,2,9103348841167,494130558391,170
47,1,8952655000,747246200,157
47,2,9731556957448,338774565190,152
48,1,9563318400,632554600,113
48,2,9339764644133,493788506428,103
49,1,7824653700,620340200,203
49,2,11054773302119,266571363568,207
50,1,8877124400,777678900,170
50,2,9929169500578,364042721448,165
51,1,9501600600,494795000,137
51,2,9352904687730,650067192433,146
52,1,9406897100,212666600,128
52,2,9881955900298,441276179517,139
53,1,8721661800,660743000,146
53,2,10302132740939,222655941370,127
54,1,9562195400,639880700,121
54,2,9094677600982,733672728856,128
55,1,8377604200,1126080700,144
55,2,9845286979626,207916027761,146
56,1,9227317400,632965200,138
56,2,9572243269585,546721046029,155
57,1,9430341400,1011671700,161
57,2,8692252324675,932392867339,181
58,1,9477757000,516784500,171
58,2,9678045021813,326793070339,161
59,1,9485275900,512801800,187
59,2,9733585355652,268134545520,184
60,1,8667205800,861544300,133
60,2,9787500324334,613420744366,142
61,1,8944415000,486237600,129
61,2,10054059506008,429588903972,124
62,1,9147066800,700684000,114
62,2,9834387354086,294884314036,109
63,1,9279607000,868429900,137
63,2,9546476448569,327779022146,139
64,1,9051106100,796178300,145
64,2,9677018135174,452941111180,128
65,1,9942307900,232098200,112
65,2,9563488551953,288461007071,125
66,1,9586860500,410058800,121
66,2,9179315792230,823213763602,154
67,1,10062873500,634882400,150
67,2,9029853395230,377555448838,149
68,1,9826651900,471923000,165
68,2,9522977871504,222948007363,172
69,1,9962244600,392291100,157
69,2,9278823780208,420060269098,154
70,1,9660664400,1124201900,188
70,2,9076750319468,256834625621,186
71,1,9821451900,369730900,175
71,2,9338918122256,498624159364,175
72,1,8218342900,1177598700,133
72,2,10106978972817,406035629260,117
73,1,8428691300,1325385500,116
73,2,9746351991353,462326928106,117
74,1,8595095400,628391400,171
74,2,10080916866680,394820213210,156
75,1,9689484300,450305600,130
75,2,9500461993152,380822087461,138
76,1,9713146900,536908800,159
76,2,9599955979125,187560984172,150
77,1,8258246800,1399297000,163
77,2,9493312462049,797491101456,167
78,1,9288852000,518313000,127
78,2,9361069140907,802767246525,133
79,1,9353707400,488401100,129
79,2,9874222160764,259758922979,127
80,1,8175168800,2040019800,170
80,2,9199260693273,617563794809,163
81,1,9498245800,593915700,129
81,2,9550179084369,371517804435,125
82,1,10180544800,532296500,142
82,2,9040304009000,723389059843,146
83,1,10642389800,448871900,172
83,2,8764641278673,677504847266,189
84,1,8815771800,942909100,122
84,2,9955460061008,249577645081,117
85,1,9823003400,320449700,117
85,2,9210120652845,667994958761,133
86,1,8205883800,1497823600,183
86,2,9987826401864,263762171837,168
87,1,9348302900,666463300,128
87,2,9693586324238,293948487801,129
88,1,9526734300,607435800,149
88,2,9342880978412,543199549295,145
89,1,9545501700,748690100,165
89,2,9487517948574,263230593750,158
90,1,9661429900,628891600,168
90,2,9069666676873,684005929069,180
91,1,9194008800,579339200,148
91,2,9595119043272,597288282746,154
92,1,10395126000,428869200,152
92,2,8946684709819,537033136934,150
93,1,9444039500,527302200,122
93,2,9483263292093,541508045731,120
94,1,9097589300,708777400,176
94,2,9872239855298,292389521417,171
95,1,9211488800,809071900,155
95,2,9465919991703,516734520076,165
96,1,9256075500,446445200,102
96,2,9865153581130,387548165958,115
97,1,9194274300,541225100,145
97,2,9460401634088,579942045184,125
98,1,8753864700,1257024800,168
98,2,9439693981655,550964295379,163
99,1,9914024300,489839000,146
99,2,9062619027321,594098206522,142
100,1,8469487000,1461043000,142
100,2,9596819065407,462277131063,127
101,1,8628907400,1256490800,111
101,2,9647475840203,449933865484,110
102,1,8563768700,833631400,150
102,2,10339537214299,172641072657,142
103,1,9206882200,878843900,105
103,2,9349398512329,577792100683,109
104,1,7900463300,684329400,168
104,2,10427699311748,590937969537,164
105,1,8703957200,1094024200,130
105,2,9665582134281,506163002026,125
106,1,8788734900,715617600,143
106,2,9571250720453,849556227337,151
107,1,10343654300,444148900,155
107,2,9209642679137,121240810514,158
108,1,8744013500,1166634900,140
108,2,9477141375079,414294224628,152
109,1,10265378100,447566000,144
109,2,9401357222490,177686287032,156
110,1,8781177500,493985900,173
110,2,9737075230287,879224766811,170
111,1,8957097300,822591000,156
111,2,10128600299251,242923109543,153
112,1,10202759800,219240500,128
112,2,9374576636705,820782517393,140
113,1,9254479000,452368100,129
113,2,9824926197869,424128741605,129
114,1,9200214700,672849900,131
114,2,9946664640046,161069759207,112
115,1,8928594700,922667300,102
115,2,9692690385070,433536963208,96
116,1,8906383000,732237100,184
116,2,9814405165197,492363718550,188
117,1,8581976300,484434400,160
117,2,10574511151821,218574027474,149
118,1,9003081300,611698200,164
118,2,9756281377607,570979565398,159
119,1,9354859800,807662700,109
119,2,9557461771923,304410088326,112
120,1,8471982600,1253978900,102
120,2,9418253732718,814660715425,105
121,1,9862045100,327625700,147
121,2,9178337563051,660470038497,163
122,1,9631620500,611838400,148
122,2,9552521073950,240648804968,152
123,1,9774126400,344536000,110
123,2,9814681826807,84430342599,120
124,1,8909329700,1578910900,175
124,2,9272600464014,312848210740,180
125,1,9421358000,848701700,137
125,2,9303628638700,651876900586,128
126,1,9167587400,204473900,142
126,2,10225982743493,306732852469,137
127,1,9406941300,693585500,145
127,2,9407086686948,507685323764,135
128,1,9244714300,447659500,144
128,2,9815159692993,446065259366,153
129,1,8703292100,540618000,151
129,2,10157896314826,484705399422,148
130,1,9967644000,625052600,194
130,2,9557508913840,123351300101,177
131,1,8794934800,671684500,148
131,2,10170702970132,282272032181,136
132,1,6799558900,2379951200,167
132,2,10310988649369,385649178278,157
133,1,9775974400,413480600,129
133,2,9689067207504,150072368516,134
134,1,8520616000,918792000,131
134,2,9833913935281,274297509664,115
135,1,8745110500,1292699800,167
135,2,9947180522013,20759545337,159
136,1,9431872400,801020000,161
136,2,9360020555254,442197429256,162
137,1,9419878600,437321100,102
137,2,9816300979269,305093281870,91
138,1,9066898000,849641000,135
138,2,9570582091675,500574307568,141
139,1,9362833500,864589700,162
139,2,9675066477973,131880382300,149
140,1,9827726400,858553300,141
140,2,9139712897082,277534656686,138
141,1,8719654800,992749600,129
141,2,9493039676879,751275790576,138
